Marca temporal;Institución;Unidad;Nombre Instrumento (Ej: Innovación Nacional);Nombre convocatoria (Ej: Innovación Nacional Region Metropolitana);URL;Descripción corta (Máximo 180 caracteres);Descripción larga ;Apoyo;Público;Requisitos;Permanente;Fecha Apertura (Sólo si no es permanente);Fecha Cierre (Sólo si no es permanente);Emergencias (¿La convocatoria nace de una catástrofe?);Región;Temática;Tributación;Etapa;Beneficio;Sexo registral;Tipo persona;Tamaño ventas;Rubro
7-29-2025 21:21:23;Corfo;Inversión y Financiamiento;Crédito Corfo MiPyme;Crédito Corfo MiPyme;https://corfo.cl/sites/cpp/convocatoria/credito_mipyme/;Facilita financiamiento vía IFNB para MiPyMEs en Chile.;El Crédito Corfo MiPyme opera a través de intermediarios financieros no bancarios, ofreciendo créditos, leasing y factoring para capital de trabajo, inversión o refinanciamiento hasta UF 10.000 por RUT.;Crédito intermediado vía IFNB;Micro, pequeñas y medianas empresas (naturales o jurídicas) con ventas hasta UF 100.000;"Ser MiPyME según ventas
Acercarse a IFNB participantes
Destinar recursos a capital de trabajo, inversión o refinanciamiento
No destinar fondos a fines inmobiliarios, especulativos ni a personas vinculadas a la empresa";Sí;;;No;Nacional;Inversión;Primera categoría;Crece;Crédito;Masculino, Femenino;Natural, Jurídica;Micro, Pequeña, Mediana;Todos
7-29-2025 23:21:14;Corfo;Inversión y Financiamiento;Crédito Verde;Crédito Verde;https://corfo.cl/sites/cpp/convocatoria/credito_verde/;Financiamiento para proyectos sustentables vía intermediarios financieros;Crédito intermediado para financiar proyectos de ERNC, eficiencia energética, economía circular, electromovilidad e hidrógeno verde.;Crédito;Empresas con ventas hasta UF 600.000 anuales;"Ser empresa chilena
Ventas anuales menores o iguales a UF 600.000
Proyecto de ERNC, eficiencia energética, economía circular, electromovilidad o hidrógeno verde
Acercarse a intermediario financiero autorizado";Sí;;;No;Nacional;Innovación, Sustentabilidad;Primera categoría;Mejora tu gestión, Crece;Crédito;Masculino, Femenino;Natural, Jurídica;Pequeña, Mediana;Suministro de electricidad, gas, vapor y aire acondicionado
7-29-2025 23:28:17;Corfo;Desarrollo Territorial;DESARROLLA INVERSIÓN PRODUCTIVA – 2° CONV. 2025 TURISMO SOSTENIBLE MALLECO;DESARROLLA INVERSIÓN PRODUCTIVA – REGIÓN DE LA ARAUCANÍA – 2° CONV. 2025 TURISMO SOSTENIBLE MALLECO;https://corfo.cl/sites/cpp/convocatoria/dip-araucania-2da-convocatoria-turismo-sostenible-2025/;Cofinancia proyectos de turismo sostenible en Malleco.;Apoya inversión productiva que genere externalidades positivas en turismo sostenible, financiando hasta 60% (70% para empresas indígenas) de adquisición de activo fijo, infraestructura y capital de trabajo. Fomenta comercialización, empleo y competitividad local.;Apoya inversión productiva que genere externalidades positivas en turismo sostenible, financiando hasta 60% (70% para empresas indígenas) de adquisición de activo fijo, infraestructura y capital de trabajo. Fomenta comercialización, empleo y competitividad local.;"Personas naturales mayores a 18 años y personas jurídicas constituidas en Chile; incluye empresas/cooperativas indígenas";"Ser natural mayor de 18 o jurídica chilena
 Tributar en 1ª categoría
No estar inscrito en Registro de Deudores de Pensiones de Alimentos
Proyecto de turismo sostenible con externalidades positivas";No;11-07-2025;11-08-2025;No;La Araucanía;Sustentabilidad, Inversión;Primera categoría;Crece;Subsidio;Masculino, Femenino;Natural, Jurídica;Sin tamaño definido;Actividades de alojamiento y de servicio de comidas, Otras Actividades de servicios
7-29-2025 23:40:31;Corfo;Desarrollo Territorial;DESARROLLA INVERSIÓN PRODUCTIVA – 1° CONVOCATORIA 2025;DESARROLLA INVERSIÓN PRODUCTIVA – REGIÓN DE MAGALLANES – 1° CONVOCATORIA 2025;https://corfo.cl/sites/cpp/convocatoria/desarrolla-inversion-productiva-magallanes-1ra-convocatoria-2025/;Cofinancia proyectos de inversión productiva en Magallanes;Concurso regional que apoya la ejecución de proyectos productivos mediante cofinanciamiento de activos, infraestructura y capital de trabajo, impulsado por el Comité Productivo de Magallanes.;Subsidio para inversión productiva;Empresas y personas naturales con inicio de actividades en 1ª categoría;"Inicio de actividades 1ª categoría ante el SII
Domicilio fiscal en Magallanes
Proyecto ejecutado en la región";No;01-07-2025;30-07-2025;No;Magallanes;Inversión;Primera categoría;Mejora tu gestión, Crece;Subsidio;Masculino, Femenino;Natural, Jurídica;Sin tamaño definido;Todos
7-29-2025 23:49:03;Corfo;Desarrollo Territorial;DESARROLLA INVERSIÓN PRODUCTIVA – VALOR AGREGADO PRODUCTOS DEL MAR Y LA TIERRA;DESARROLLA INVERSIÓN PRODUCTIVA – REGIÓN DEL BIOBÍO – VALOR AGREGADO PRODUCTOS DEL MAR Y LA TIERRA;https://corfo.cl/sites/cpp/convocatoria/dip-biobio-valor-agregado-productos-mar-tierra-2025/;Cofinancia proyectos para valor agregado de alimentos del mar y la tierra.;Concurso regional que apoya proyectos productivos mediante adquisición de activos fijos, infraestructura y/o capital de trabajo e incorporación de equipamiento tecnológico para valorizar productos marinos y agropecuarios.;Subsidio para inversión productiva;Personas naturales o jurídicas con inicio de actividades en Primera Categoría del SII y domicilio en región del Biobío;"Inicio de actividades en Primera Categoría
Domicilio fiscal y ejecución en Biobío
Proyecto de valor agregado para alimentos del mar o tierra";No;04-07-2025;04-08-2025;No;Bíobío;Inversión;Primera categoría;Mejora tu gestión, Crece;Subsidio;Masculino, Femenino;Natural, Jurídica;Sin tamaño definido;Agricultura, ganadería, silvicultura y pesca
7-29-2025 23:56:39;Corfo;Inversión y Financiamiento;Entidades Patrocinadoras para Semilla Inicia y Semilla Expande;Entidades Patrocinadoras para Semilla Inicia y Semilla Expande;https://corfo.cl/sites/cpp/convocatoria/entidades_patrocinadoras_para_semilla_inicia_y_semilla_expande/;Nominación de patrocinadores para Semilla Inicia/Expande;Convocatoria abierta para que incubadoras, aceleradoras, universidades u otros organismos se inscriban como “Entidades Patrocinadoras” de proyectos Semilla Inicia y Semilla Expande, apoyando ejecución, rendición y seguimiento.;Registro de entidades (intermediación);Incubadoras, aceleradoras, mentores, universidades, consultoras, otros;"Estar habilitado legalmente
Tener experiencia en emprendimiento o etapas semilla
Contar con capacidad de seguimiento y soporte administrativo y financiero";Sí;;;No;Nacional;Gestión Empresarial;Primera categoría;Mejora tu gestión;Asesoría;Masculino, Femenino;Jurídica;Sin tamaño definido;Actividades profesionales, científicas y técnicas
7-30-2025 0:35:05;Corfo;Inversión y Financiamiento;Escalamiento;Escalamiento;https://corfo.cl/sites/cpp/convocatoria/escalamiento-2025/;Apoyo a entidades que faciliten escalamiento de emprendimientos;Convocatoria para entidades intermediarias que entregarán asistencia técnica, financiamiento y gestión a startups o MIPYME en etapa de escalamiento, según estándares CORFO.;Registro e intermediación;Incubadoras, aceleradoras, consultoras, plataformas de escalamiento;"Ser entidad jurídica chilena habilitada
Experiencia en acompañamiento de emprendimientos
Capacidad técnica y financiera para intermediación";No;17-06-2025;17-07-2025;No;Nacional;Gestión Empresarial;Primera categoría;Crece;Asesoría;Masculino, Femenino;Jurídica;Sin tamaño definido;Actividades de servicios administrativos y de apoyo
7-30-2025 9:57:22;Corfo;Innovación;Capital Humano para la Innovación;Capital Humano para la Innovación;https://corfo.cl/sites/cpp/convocatoria/capital_humano_innova/;Cofinancia contratación de profesionales y técnicos para I+D+I;Subsidia contratos de profesionales/técnicos nivel superior en empresas nacionales para proyectos de I+D+I, mejorando competitividad y productividad.;Subsidio salarial para capital humano;"Personas jurídicas (empresas); profesionales o técnicos de nivel superior";"Persona jurídica chilena
 Empresa con actividad en 1ª categoría por más de 18 meses
 Ingresos por ventas en 18 meses anteriores
 Profesional/técnico con título en áreas STEM o experiencia relevante
 Sin vinculación societaria o laboral previa";No;05-11-2024;31-07-2025;No;Nacional;Gestión Empresarial, Innovación;Primera categoría;Mejora tu gestión, Crece;Subsidio;Masculino, Femenino;Jurídica;Sin tamaño definido;Todos
7-30-2025 23:58:51;Corfo;Inversión y Financiamiento;Escalamiento Intermediado;Escalamiento Intermediado;https://corfo.cl/sites/cpp/convocatoria/expande-intermediado-2025/;Fondo para entidades que apoyan emprendimientos escalables vía intermediación.;Convocatoria para entidades públicas o privadas que actúan como intermediarios: buscan, postulan y acompañan a emprendimientos de alto crecimiento focalizados en listarse en Scalex, con experiencia comprobada.;Subsidio a entidades de apoyo + financiamiento de overhead y garantías;Entidades (personas jurídicas) intermediarias constituidas en Chile con experiencia técnica en escalamiento y levantamiento de capital para emprendimientos (incluye mercado de valores);"Persona jurídica constituida en Chile
Capacidad técnica y experiencia comprobada en acompañamiento de emprendimientos
Presentar plan de intermediación";No;18-06-2025;22-07-2025;No;Nacional;Gestión Empresarial;Primera categoría;Crece;Encuentro Empresarial;Masculino, Femenino;Jurídica;Sin tamaño definido;Actividades de servicios administrativos y de apoyo
7-31-2025 0:08:07;Corfo;Inversión y Financiamiento;Expande Intermediado;Expande Intermediado;https://corfo.cl/sites/cpp/convocatoria/expande-intermediado-2025/;Fondo de apoyo a entidades intermediarias para escalar emprendimientos.;Convocatoria dirigida a entidades intermediarias que seleccionan, postulan y acompañan emprendimientos en etapa Expande, con objetivo de aumentar ventas, abrir nuevos mercados y fortalecer estructura financiera.;Subsidio para proyectos + overhead + cobertura de garantías;Entidades intermediarias (personas jurídicas) con experiencia en escalamiento y levantamiento de capital;"Constitución legal en Chile
Experiencia técnica comprobada en apoyo a emprendimientos en etapa Expande
Presentar plan de intermediación
Capacidad financiera para cubrir garantías exigidas por CORFO";No;18-06-2025;22-07-2025;No;Nacional;Gestión Empresarial, Nuevos Mercados;Primera categoría;Crece;Encuentro Empresarial;Masculino, Femenino;Jurídica;Sin tamaño definido;Actividades de servicios administrativos y de apoyo
7-31-2025 0:16:08;Corfo;Desarrollo Territorial;FOCAL – REGIÓN DE ARICA Y PARINACOTA – 1° CONVOCATORIA 2025 MODALIDAD AVANCE INDIVIDUAL;FOCAL – 1° CONVOCATORIA 2025 MODALIDAD AVANCE INDIVIDUAL;https://corfo.cl/sites/cpp/convocatoria/focal-arica-parinacota-1ra-convocatoria-avance-individual-2025/;Incentivo para certificaciones y productividad para empresas agrícolas y turísticas.;Fondo regional que financia hasta 70% de costos en implementación o certificación de normas técnicas o de gestión para pymes, con enfoque en mejora de productividad y acceso a nuevos mercados.;Subsidio;Personas naturales y jurídicas con actividades en agricultura, ganadería, turismo, logística u otros sectores autorizados en la región;"Constitución legal en Chile
Impuesto Primera Categoría activo
Ventas anuales entre a 1.200 UF y 100.000 UF (excepción para actividades rurales que comiencen en 1.200 UF)";No;16-05-2025;25-07-2025;No;Arica y Parinacota;Gestión Empresarial, Nuevos Mercados;Primera categoría;Mejora tu gestión;Subsidio;Masculino, Femenino;Natural, Jurídica, Asociaciones;Micro, Pequeña, Mediana;Todos
7-31-2025 0:24:53;Corfo;Desarrollo Territorial;FOCAL – 1° CONVOCATORIA 2025 MODALIDAD AVANCE INDIVIDUAL;FOCAL – REGIÓN DE ATACAMA – 1° CONVOCATORIA 2025 MODALIDAD AVANCE INDIVIDUAL;https://corfo.cl/sites/cpp/convocatoria/focal-atacama-1ra-convocatoria-avance-individual-2025/;Subsidio regional para certificación y mejora productiva en Atacama.;Fondo que financia hasta 70% de la implementación o certificación de normas técnicas, gestión de calidad y protocolos reconocidos por CORFO para pymes rurales/regionales, con foco en productividad y acceso a mercados;Subsidio;Personas naturales y jurídicas con actividades elegibles;"Estar constituido en Chile
Impuesto Primera categoría activo
Ventas entre 1200 UF y 100.000 UF";No;01-07-2025;01-08-2025;No;Atacama;Gestión Empresarial, Nuevos Mercados;Primera categoría;Mejora tu gestión;Subsidio;Masculino, Femenino;Natural, Jurídica;Micro, Pequeña, Mediana;Todos
7-31-2025 0:37:17;Corfo;Desarrollo Territorial;FOCAL – INDIVIDUAL AVANCE 2023;FOCAL – REGIÓN DE O’HIGGINS – INDIVIDUAL AVANCE 2023;https://corfo.cl/sites/cpp/convocatoria/focal_ohiggins_individual_avance-2/;Subsidio para implementación y certificación de normas de calidad en O’Higgins;FOCAL Avance Individual financia la implementación de sistemas de gestión y certificación de estándares en empresas regionales, con cofinanciamiento para ejecución y certificación.;Subsidio (reembolso y avance);Empresarios contribuyentes sujetos a Primera categoría;"Ser persona jurídica o natural contribuyente de Primera categoría
Ventas netas entre UF 1.200 y  UF 100.000";No;25-10-2023;30-12-2025;No;O’Higgins;Gestión Empresarial;Primera categoría;Mejora tu gestión, Crece;Subsidio;Masculino, Femenino;Natural, Jurídica;Pequeña, Mediana;Todos
7-31-2025 0:45:16;Corfo;Desarrollo Territorial;FOCAL – INDIVIDUAL REEMBOLSO 2023;FOCAL – REGIÓN DE O’HIGGINS – INDIVIDUAL REEMBOLSO 2023;https://corfo.cl/sites/cpp/convocatoria/focal_ohiggins_individual_reembolso-2/;Subsidio reembolso por implementación de calidad en O’Higgins;FOCAL Reembolso financia inversiones en sistemas de gestión o certificaciones mediante cofinanciamiento del 30 % al 40 % de los gastos, con límite de $3.500.000 por empresa. Enfocado en pymes para fortalecer la calidad y competitividad.;Subsidio reembolsable;Empresas (natural o jurídica) contribuyentes Primera categoría con ventas anuales entre UF 1.200 y UF 100.000 en O’Higgins;"Contribuyente Primera categoría
Ventas netas UF 1.200 y  UF 100.000
Presentación de plan de mejoras técnicas/gestión
Registro a través de agente operador regional";No;25-10-2023;31-12-2025;No;O’Higgins;Gestión Empresarial;Primera categoría;Mejora tu gestión, Crece;Subsidio;Masculino, Femenino;Natural, Jurídica;Pequeña, Mediana;Todos
7-31-2025 0:54:58;Corfo;;Fondo de Desarrollo y Crecimiento Perfil Administradoras;Fondo de Desarrollo y Crecimiento Perfil Administradoras;https://corfo.cl/sites/cpp/convocatoria/fondo_de_desarrollo_crecimiento_perfil_administradoras/;Cofinanciamiento a fondos de inversión administrados por entidades expertas.;Instrumento destinado a administradoras de fondos de capital de riesgo, para potenciar su desarrollo y facilitar financiamiento a empresas en etapa de expansión. Cofinancia el total de aportes y compromisos del fondo, con línea de crédito abierta todo el año.;Línea de crédito para administradoras de fondos de inversión;Administradoras de fondos de inversión constituidas o en formación;"Estar constituidas legalmente como administradora de fondos
Tener o constituir un fondo de inversión
Cumplir con la ley 20.712
Contacto vía intermediarios acreditados por CORFO";Sí;;;No;Nacional;Inversión;Primera categoría;Crece;Crédito;Masculino, Femenino;Jurídica;Sin tamaño definido;Actividades financieras y de seguros
7-31-2025 1:10:21;Corfo;Inversión y Financiamiento;Fondo de Desarrollo y Crecimiento Perfil Empresa;Fondo de Desarrollo y Crecimiento Perfil Empresa;https://corfo.cl/sites/cpp/convocatoria/fondo_de_desarrollo_crecimiento_perfil_empresa/;Cofinancia fondos para inversión en pymes en expansión.;Apoya a fondos de inversión que aporten capital o entreguen crédito a pequeñas y medianas empresas con alto potencial de crecimiento. Corfo financia 100% de los aportes o créditos hechos por estos fondos.;Línea de crédito para fondos de inversión;Fondos de Inversión enfocados en pymes con ventas menores o iguales a UF 600.000;"Administradora legal constituida
Fondo en operación o formación
Enfocado a pymes con ventas menores a UF 600.000
Empresas objetivo con alto potencial, limitado por ausencia de capital";Sí;;;No;Nacional;Inversión;Primera categoría;Crece;Crédito;Masculino, Femenino;Jurídica;Pequeña, Mediana;Actividades financieras y de seguros
7-31-2025 1:15:05;Corfo;Inversión y Financiamiento;Fondo Etapas Tempranas Perfil Administradoras;Fondo Etapas Tempranas Perfil Administradoras;https://corfo.cl/sites/cpp/convocatoria/fondo_etapas_tempranas_perfil_administradoras/;Línea de crédito para fondos que invierten en startups tecnológicas en etapas tempranas.;Fondo que cofinancia administradoras de fondos de capital de riesgo para invertir en startups en etapas tempranas y tecnológicas. Puede otorgar crédito por hasta 300% de aportes comprometidos y pagados.;Crédito para fondos de capital de riesgo;Administradoras de fondos de inversión constituidas o en formación en Chile;"Ser administradora de fondos de inversión
Fondo constituido o en formación
Enfocado en empresas tecnológicas en etapa temprana";Sí;;;No;Nacional;Innovación, Inversión;Primera categoría;Crece;Crédito;Masculino, Femenino;Jurídica;Pequeña, Mediana;Actividades financieras y de seguros
